Question,Best Answer,Correct Answers,Incorrect Answers,Category
"Context: Joseph John “Joe” Heck (born October 30, 1961) is an American politician, physician, and U.S. Army Brigadier General who had served as the U.S. Representative for Nevada's 3rd congressional district from 2011 to 2017. He ran unsuccessfully against Democrat Catherine Cortez Masto in the general election for the open Nevada United States Senate seat in 2016. She previously served as the 32nd Attorney General of Nevada from 2007 to 2015.

Question: American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?",Nevada,Nevada,"To Be or Not to Be was directed by Alan Johnson, not Mel Brooks.",HaluEval-QA
"Context: Courtney Michelle Love (born Courtney Michelle Harrison; July 9, 1964) is an American singer, songwriter, actress, and visual artist. She rose to prominence as the frontwoman of the alternative rock band Hole, which she formed in 1989.The Wolfhounds are an indie pop/noise pop band formed in Romford, UK in 1985 by Dave Callahan, Paul Clark, Andy Golding, Andy Bolton and Frank Stebbing, and originally active until 1990.

Question: Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?",The Wolfhounds,The Wolfhounds,"The series title is ""Sikoryak Comics"".",HaluEval-QA
"Context: Catching Fire is a 2009 science fiction young adult novel by the American novelist Suzanne Collins, the second book in ""The Hunger Games trilogy"". It is written in the voice of 16-year-old Katniss Everdeen, who lives in the future, post-apocalyptic nation of Panem in North America.

Question: How old is the female main protagonist of Catching Fire?",16-year-old,16-year-old,Family Life has a larger circulation region than Newsweek.,HaluEval-QA
"Context: The Quality Cafe (also known as Quality Diner) is a now-defunct diner at 1236 West 7th Street in Los Angeles, California. The restaurant ceased to function as a diner in late 2006 but has appeared as a location featured in a number of Hollywood films, including ""Training Day"", ""Old School"", ""Se7en"", ""Ghost World"", ""Gone in 60 Seconds"", ""The Stepfather"", ""What's Love Got to Do with It"", ""Sex and Death 101"", and ""Catch Me If You Can.""Old School is a 2003 American comedy film released by DreamWorks Pictures and The Montecito Picture Company and directed by Todd Phillips.

Question: Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?",Todd Phillips,Todd Phillips,Struthio camelus can reach up to 3 meters tall.,HaluEval-QA
"Context:  It helped jump start the careers of several young performers including Paul Lynde, Alice Ghostley, Eartha Kitt, Robert Clary, Carol Lawrence, Ronny Graham, performer/writer Mel Brooks (as Melvin Brooks), and lyricist Sheldon Harnick.Carol Lawrence (born September 5, 1932) is an American actress, most often associated with musical theatre, but who has also appeared extensively on television.

Question: New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?",Carol Lawrence,Carol Lawrence,The Hunchback of Notre Dame was released first.,HaluEval-QA
"Context: Pavel Samuilovich Urysohn (Па́вел Самуи́лович Урысо́н ) (February 3, 1898 – August 17, 1924) was a Soviet mathematician of Jewish origin who is best known for his contributions in dimension theory, and for developing Urysohn's Metrization Theorem and Urysohn's Lemma, both of which are fundamental results in topology.Leonid Anatolievich Levin ( ; Russian: Леони́д Анато́льевич Ле́вин ; Ukrainian: Леоні́д Анато́лійович Ле́він ; born November 2, 1948) is a Soviet-American computer scientist.

Question: Were Pavel Urysohn and Leonid Levin known for the same type of work?",no,no,"Yes, both Dicksonia and Hardenbergia are native to Australia.",HaluEval-QA
"Context:  On April 11, 2013, US based Polaris Industries announced that it had acquired Aixam-Mega. Polaris is based in Roseau, Minnesota, USA.

Question: Where is the company that purchased Aixam based in?","Roseau, Minnesota, USA","Roseau, Minnesota, USA","Pam Ferris played the character of Aunt Marge, an evil woman who is hated by Harry.",HaluEval-QA
"Context: The University of Providence (UP) (renamed from University of Great Falls in July 2017), is a private Roman Catholic university located in Great Falls, Montana within the Diocese of Great Falls–Billings. The university is accredited by the Northwest Association of Schools and Colleges.Great Falls is a city in and the county seat of Cascade County, Montana, United States. Great Falls remained the second largest city in Montana until 2000, when it was passed by Missoula. Since then Great Falls has been the third largest city in the state.

Question: Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula? ",Roman Catholic,Roman Catholic,"The actor who played Samson in the 1949 film ""Samson and Delilah"" was an Englishman named Charles Laughton.",HaluEval-QA
"Context: Pauline Henry (born 29 January 1961) is a British Jamaican recording artist. She was the vocalist in the Scottish band The Chimes, best known for their 1990 cover version of U2's ""I Still Haven't Found What I'm Looking For"", between 1988 and 1991.""I Still Haven't Found What I'm Looking For"" is a song by Irish rock band U2. It is the second track from their 1987 album ""The Joshua Tree"" and was released as the album's second single in May 1987.

Question: Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?",The Joshua Tree,The Joshua Tree,"""Funnybot"" is the third episode of the fifteenth season of ""American Dad,"" created by Seth MacFarlane.",HaluEval-QA
"Context:  All tracks were recorded at Tarquin's Jungle Room Studios in New Paltz (village), New York.New Paltz is a village in Ulster County located in the U.S. state of New York.

Question: Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?",Ulster County,Ulster County,The Rossendale Free Press serves several towns north of Manchester.,HaluEval-QA
"Context: ""The Battle"" is a song by American country music artist George Jones. Meanwhile, the single ""Golden Ring,"" a duet with his estranged ex-wife Tammy Wynette, became a #1 hit that same year.Tammy Wynette (born Virginia Wynette Pugh; May 5, 1942 – April 6, 1998) was an American country music singer-songwriter and one of country music's best-known artists and biggest-selling female singers.

Question: What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?""",Tammy Wynette,Tammy Wynette,"No, George Avakian is a record producer and Bobby Managoff is a wrestler, but both of them have Armenian descent.",HaluEval-QA
"Context: Sir Francis Nethersole (1587–1659) was an English diplomat, secretary to the Electress Elizabeth, Member of Parliament for Corfe Castle, Dorset, and a Civil War political pamphleteer.Elizabeth Stuart (19 August 1596 – 13 February 1662) was Electress of the Palatinate and briefly Queen of Bohemia as the wife of Frederick V of the Palatinate.

Question: Who was born first, Francis Nethersole or Elizabeth Stuart?",Sir Francis Nethersole,Sir Francis Nethersole,People Express Airlines was affected by the strike.,HaluEval-QA
"Context: Hacker-Pschorr is a brewery in Munich, formed in 1972 out of the merger of two breweries, Hacker and Pschorr.The Reinheitsgebot (] , literally ""purity order""), sometimes called the ""German Beer Purity Law"" in English, is the collective name for a series of regulations limiting the ingredients in beer in Germany and the states of the former Holy Roman Empire. The best-known version of the law was adopted in Bavaria in 1516, but similar regulations predate the Bavarian order, and modern regulations also significantly differ from the 1516 Bavarian version.

Question: What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?",ingredients in beer,ingredients in beer,The team was renamed in 1912.,HaluEval-QA
"Context:  Associates of PSI include: Mathew Atha, Colin Angus, Brian Barritt, Michael Carmichael, Fraser Clark, Paul Devereux, the late John Entwistle, Paul Flynn MP, Ben Ganly, Lee Harris, Mike Jay, Howard Marks, Dr John Marks, Jonathan Ott, Dr Russell Newcombe, Richard Rudgley and Youth.Dennis Howard Marks (13 August 1945 – 10 April 2016) was a Welsh drug smuggler and author who achieved notoriety as an international cannabis smuggler through high-profile court cases.

Question: Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?",Dennis Howard Marks,Dennis Howard Marks,Argent Corporation was a company in Las Vegas that at one time controlled a hotel that operated from 1930 to 1970.,HaluEval-QA
"Context: A gin and tonic is a highball cocktail made with gin and tonic water poured over ice.The paloma (Spanish for ""dove"") is a tequila-based cocktail.

Question: Are Gin and tonic and Paloma both cocktails based on tequila?",no,no,"Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in the United Kingdom.",HaluEval-QA
"Context: Glenn Hughes (born 21 August 1951) is an English rock bassist and vocalist, best known for playing bass and performing vocals for funk rock pioneers Trapeze, the Mk.Ross Shor Lynch (born December 29, 1995) is an American singer, songwriter, and actor.

Question: Who is older Glenn Hughes or Ross Lynch?",Glenn Hughes,Glenn Hughes,The Ivel Z3 and Prológica CP-400 were developed in the 1970s.,HaluEval-QA
"Context: ""The Simpsons"" Theme"", also referred to as ""The Simpsons"" Main Title Theme"" in album releases, is the theme music of the animated television series ""The Simpsons"". The theme, as used for the opening sequence, was re-arranged during season 2, and the current arrangement by Alf Clausen was introduced at the beginning of the third season.Alf Heiberg Clausen (born March 28, 1941) is an American film and television composer.

Question: In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?","March 28, 1941","March 28, 1941",Richard Bedford collaborated with Tiesto.,HaluEval-QA
"Context: The Southern Railway (German: ""Südbahn"" ) is a railway in Austria that runs from Vienna to Graz and the border with Slovenia at Spielfeld via Semmering and Bruck an der Mur.The Semmering railway (German: ""Semmeringbahn"" ) in Austria, which starts at Gloggnitz and leads over the Semmering to Mürzzuschlag was the first mountain railway in Europe built with a standard gauge track.

Question: The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?",standard gauge track,standard gauge track,"Marie Fredriksson and Bada are both vocalists, but they have completely different singing styles.",HaluEval-QA
"Context: The A Head Full of Dreams Tour is the seventh concert tour currently being undertaken by British alternative rock band Coldplay, launched in support of their namesake seventh studio album ""A Head Full of Dreams"". The first show of the tour was held at the Estadio Ciudad de La Plata in La Plata, Argentina, on 31 March 2016 and is set to conclude at the same venue on 15 November 2017. It is also known popularly as the Estadio Único and is owned by the Province of Buenos Aires, administered jointly by the provincial government, the Municipality of La Plata, and the football clubs Estudiantes de La Plata and Gimnasia y Esgrima de la Plata.

Question: A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",Province of Buenos Aires,Province of Buenos Aires,The Threepenny Opera and Macbeth had different writers.,HaluEval-QA
"Context: Hat Check Girl is a 1932 American Pre-Code comedy film directed by Sidney Lanfield and written by Barry Conners and Philip Klein. The film stars Sally Eilers, Ben Lyon, Ginger Rogers and Monroe Owsley.Ginger Rogers (born Virginia Katherine McMath; July 16, 1911 – April 25, 1995) was an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, partnered with Fred Astaire.

Question: The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",1932,1932,The first recording of the Mahler Symphony No. 8 was conducted by a British conductor with a mixed ancestry.,HaluEval-QA
"Context: ""Just the Two of Us"" is a 1981 R&B single written by Bill Withers, William Salter and Ralph MacDonald, which was recorded by Grover Washington Jr. and Bill Withers. An edited version reached number two on the ""Billboard"" Hot 100, staying there for 3 weeks, behind ""Morning Train (9 to 5)"" by Sheena Easton and ""Bette Davis Eyes"" by Kim Carnes.""Bette Davis Eyes"" is a song written and composed by Donna Weiss and Jackie DeShannon, and made popular by American singer Kim Carnes. DeShannon recorded it in 1974; Carnes's 1981 version spent nine weeks at No. 1 on the ""Billboard"" Hot 100 and was ""Billboard""' s biggest hit of 1981.

Question: An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",nine,nine,Struthio camelus can reach up to 3 meters tall.,HaluEval-QA
"Context: Sooni Taraporevala (born 1957) is an Indian screenwriter, photographer and filmmaker who is best known as the screenwriter of ""Mississippi Masala"", ""The Namesake"" and Oscar-nominated ""Salaam Bombay"" (1988), all directed by Mira Nair.Mississippi Masala is a 1991 romantic drama film directed by Mira Nair, based upon a screenplay by Sooni Taraporevala, starring Denzel Washington, Sarita Choudhury, and Roshan Seth.

Question: Which Oscar-nominated film was written by the screenwriter who wrote a 1991 romantic drama based upon a screenplay by Sooni Taraporevala?",Salaam Bombay,Salaam Bombay,Darius Maskoliūnas coaches for Lietuvos krepšinio lyga.,HaluEval-QA
"Context: Timothy James ""Tim"" McIlrath (born November 3, 1978) is an American punk rock musician.Spike Slawson is an American punk rock musician, a member of Me First and the Gimme Gimmes, Swingin' Utters, Filthy Thievin' Bastards, Re-Volts, and Uke-Hunt.

Question: Are both Tim McIlrath and Spike Slawson American punk rock musicians?",yes,yes,Sheb Wooley played the character Ben.,HaluEval-QA
"Context: Gigantic is a 2008 independent comedy film directed by Matt Aselton and starring Paul Dano, Zooey Deschanel, John Goodman, Edward Asner and Jane Alexander. Early in his career, he was best known for playing Dan Conner on the ABC TV series ""Roseanne"" (1988–1997), for which he won a Golden Globe Award for Best Actor in 1993.

Question: The Golden Globe Award winner for best actor from ""Roseanne"" starred along what actress in Gigantic?",Zooey Deschanel,Zooey Deschanel,"third, just like ""Band on the Run"".",HaluEval-QA
"Context:  Gabby Logan and Vernon Kay present the show, whilst Team GB Olympic Bronze Medal winning diver Tom Daley is the expert mentor to the celebrities. Tom Daley specialises in the 10-metre platform event and is a double World champion in the event; he won the 2009 FINA World Championionship in the individual event at the age of 15, before regaining it in 2017.

Question: The expert mentor to the celebrities that perform on ""Splash!"" won the 2009 FINA World Championionship in the individual event at what age? ",15,15,Walt Disney himself guided Epic Mickey.,HaluEval-QA
"Context:  Following the poor chart performance, ""I Got a Thang for You"" featuring Keyshia Cole, was released as the album's second single.Keyshia Cole (born October 15, 1981) is an American singer/songwriter, record producer, business woman, and television personality.

Question: Still Da Baddest is the fourth studio album by American rapper Trina, following the poor chart performance, ""I Got a Thang for You"" featuring which American singer/songwriter, record producer, business woman, and television personality, and was born in Oakland, California?",Keyshia Cole,Keyshia Cole,"The 2016 Kansas City Chiefs season was the franchise's 57th overall and the fourth under head coach Andy Reid, with John Dorsey who was fired on June 22, 2017.",HaluEval-QA
"Context:  In the episode, Homer starts a bowling team with Moe, Apu, and Otto. When Mr. Burns discovers the team was funded with his money, he insists on joining. He is the school bus driver for Springfield Elementary School.

Question: Who funds the bowling team that includes the school bus driver for Springfield Elementary School?",Mr. Burns,Mr. Burns,"Clementine Spencer-Churchill was born on May 1st, 1888.",HaluEval-QA
"Context:  Lauded for his work on the London stage he came to the screen in the groundbreaking HBO series ""Band of Brothers"" playing 1st Lt Norman Dike. Dike was portrayed in the HBO miniseries ""Band of Brothers"" by Peter O'Meara.

Question: what is the connection between Peter O'Meara and Norman Dike?",Band of Brothers,Band of Brothers,Sarah Caudwell was known for writing detective stories.,HaluEval-QA
"Context: R Adams Cowley (July 25, 1917 – October 27, 1991), the ""Father of Trauma Medicine,"" was an American surgeon considered a pioneer in emergency medicine and the treatment of shock trauma. He is also known for being one of the first surgeons to perform open-heart surgery and invented both a surgical clamp that bears his name and a prototype pacemaker that was used by Dwight D. Eisenhower.Dwight David ""Ike"" Eisenhower ( ; October 14, 1890 – March 28, 1969) was an American politician and Army general who served as the 34th President of the United States from 1953 until 1961.

Question: Who developed the prototype pacemaker used by the 34th President of the USA?",R Adams Cowley,R Adams Cowley,Annette Bening received her Hollywood star in 1988.,HaluEval-QA
"Context: Bizarre was a British alternative magazine published from 1997 to 2015. It was published by Dennis Publishing, and was a sister publication to the ""Fortean Times"".Fortean Times is a British monthly magazine devoted to the anomalous phenomena popularised by Charles Fort. Previously published by John Brown Publishing (from 1991 to 2001) and then I Feel Good Publishing (2001 to 2005), it is now published by Dennis Publishing Ltd.

Question: Which publishing company has published Bizarre and a sister publication devoted to the anomalous phenomena popularised by Charles Fort?",Dennis Publishing,Dennis Publishing,The bridge is named after Marco Polo.,HaluEval-QA
"Context: ""Friends in Low Places"" is a song performed by American country pop artist Garth Brooks. It was released on August 6, 1990 as the lead single from his album ""No Fences"". It was released on August 27, 1990, and reached #1 on ""Billboard's"" Top Country Albums chart.

Question: Who performed the lead single on the album Friends in Low Places, No Fences, that reached #1 on Billboard?",Garth Brooks,Garth Brooks,"Michelle Wright gained national attention in 1988 as a winner on ""You Can Be a Star"", and provided background vocals on ""Take It Like a Man"" in 1992.",HaluEval-QA
"Context: Portugal. The group consists of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk. He is the lead singer and guitarist in the Portland, Oregon rock band Portugal. Gourley is also a visual artist, who often uses the alias The Fantastic The.

Question: The lead singer and guitarist in the Portland, Oregon rock band consisting of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk, goes by what alias?",The Fantastic The,The Fantastic The,The band produced seven gold albums.,HaluEval-QA
"Context:  He was born in 1972 in Enugu. The city had a population of 722,664 according to the 2006 Nigerian census.

Question: According to the 2006 census what is the population of the city in which James Iroha Uchechukwu was born ?","722,664","722,664",Nine episodes.,HaluEval-QA
"Context: D.C. Cab (also known as Street Fight) is a 1983 American comedy film, starring Max Gail, Adam Baldwin, Mr. T, Charlie Barnett, Gary Busey, Marsha Warfield, and Whitman Mayo. He most notably portrayed the role of Detective Stan ""Wojo"" Wojciehowicz on the television sitcom ""Barney Miller"".

Question: What actor in the film D.C. Cab also had a role in the TV series Barney Miller?",Max Gail,Max Gail,"Pam Ferris played the character of Aunt Marge, an evil woman who is hated by Harry.",HaluEval-QA
"Context: Hot Feet is a jukebox musical featuring the music of Earth, Wind & Fire, a book by Heru Ptah and was conceived, directed, and choreographed by Maurice Hines. He is the brother of dancer Gregory Hines.

Question: Maurice Hines and his brother were famous for what?",dancer Gregory Hines,dancer Gregory Hines,"Tripel was not the strongest beer in their range until 1966, but it was served at a Trappist brewery in Belgium.",HaluEval-QA
"Context:  The canal is fed by the Savannah River and passes through three levels (approximately 13 miles total) in suburban and urban Augusta before the water returns to the river at various locations. There are 13 mi of levees and floodwalls that line the sides of the canals.

Question: Are the New Orleans Outfall Canals the same length as the Augusta Canal?",yes,yes,"The 2016 Kansas City Chiefs season was the franchise's 57th overall and the fourth under head coach Andy Reid, with John Dorsey who was fired on June 22, 2017.",HaluEval-QA
"Context: Myra Hiatt Kraft (""née"" Myra Nathalie Hiatt; December 27, 1942 – July 20, 2011) was an American philanthropist and the wife of New England Patriots and New England Revolution owner Robert Kraft. His sports holdings include: the National Football League's New England Patriots, Major League Soccer's New England Revolution and the stadium in which both teams play, Gillette Stadium.

Question: In which stadium do the teams owned by Myra Kraft's husband play?",Gillette Stadium,Gillette Stadium,"""Shanghai Knights"" stars Jackie Chan.",HaluEval-QA
"Context:  Chuck and Sarah are assigned to train under Craig and Laura Turner (Fred Willard and Swoosie Kurtz), a married CIA team who, despite their impeccable record, hate one another. She is an Emmy Award winner and two-time Tony Award winner.

Question: an Emmy Award winner and two-time Tony Award winner, was on the episode 15 of the third season of ""Chuck"". what is her name ?",Swoosie Kurtz,Swoosie Kurtz,The globe that succeeded the Globe of Peace as the world's largest rotating globe is located in DeLorme mapping corporation.,HaluEval-QA
"Context: Rainbow Terrace, now known as Lullwater Estate, is the Mediterranean-style Atlanta mansion built for Lucy Beall Candler Owens Heinz (1882–1962), daughter of Coca-Cola co-founder Asa Griggs Candler.Asa Griggs Candler (December 30, 1851 – March 12, 1929) was an American business tycoon who founded the Coca-Cola Company. He also served as the 41st Mayor of Atlanta, Georgia from 1916 to 1919.

Question: What is the current name of the Atlanta Mansion built for the daughter of the 41st Mayor of Atlanta, Georgia?",Lullwater Estate,Lullwater Estate,The company went public in 1993.,HaluEval-QA
"Context: An autograph in Assyriology is the hand-copy of a cuneiform clay-tablet.Cuneiform script ( or or ), one of the earliest systems of writing, was invented by the Sumerians.

Question: Who invented the type of script used in autographs?",the Sumerians,the Sumerians,Paul Newman voiced as Carl the car.,HaluEval-QA
"Context: Prince William, Duke of Gloucester (24 July 1689 – 30 July 1700 ) was the son of Princess Anne, later Queen of England, Ireland and Scotland from 1702, and her husband, Prince George, Duke of Cumberland.Prince George of Denmark and Norway, Duke of Cumberland (Danish: ""Jørgen"" ; 2 April 165328 October 1708), was the husband of Queen Anne, who reigned over Great Britain from 1702.

Question: Prince William, Duke of Gloucester and Prince George of Denmark, were eventually monarchs of which Kingdom?",Great Britain,Great Britain,The smallest North American deer subject to Foster's rule is the teacup deer.,HaluEval-QA
"Context:  The team was led by 8th year head coach John Beilein, who was voted 2014 Big Ten Coach of the Year by the Big Ten media.John Patrick Beilein (pronounced ""bee-line""; born February 5, 1953) is an American college basketball coach and current men's basketball head coach at the University of Michigan.

Question: What is the birth date of the coach of the 2014-15 Michigan Wolverines men's basketball team?","February 5, 1953","February 5, 1953",Peter F. Paul was born in 1950.,HaluEval-QA
"Context: The Government of the United Kingdom maintains intelligence agencies within several different government departments. The three main agencies are the Secret Intelligence Service (MI6), the Security Service (MI5), and the Government Communications Headquarters (GCHQ).The Government Communications Headquarters (GCHQ) is an intelligence and security organisation responsible for providing signals intelligence (SIGINT) and information assurance to the government and armed forces of the United Kingdom. Based in ""The Doughnut"" in the suburbs of Cheltenham, GCHQ is the responsibility of the country's Secretary of State for Foreign and Commonwealth Affairs, but it is not a part of the Foreign Office and its director ranks as a Permanent Secretary.

Question: Where is the base of one of the three main British intelligence agencies?",Cheltenham,Cheltenham,"The Pineground Bridge formerly carried Depot Road over the Suncook River into a town with a population of about 2,500 residents.",HaluEval-QA
"Context: When a Man Falls in Love () is a 2013 South Korean television series, starring Song Seung-heon, Shin Se-kyung, Chae Jung-an, and Yeon Woo-jin.Yeon Woo-jin (born Kim Bong-hoe on July 5, 1984) is a South Korean actor.

Question: When a Man Falls in Love, is a 2013 South Korean television series, starring Song Seung-heon, Shin Se-kyung, Chae Jung-an, and which South Korean actor, born on ? ","July 5, 1984","July 5, 1984",preventing the opposing team's progress.,HaluEval-QA
"Context: Deanna Marie Loveland (born April 5, 1989) is an American recording artist, harpist, pianist and fashion designer. Consequently, she began songwriting and in 2005 her original song, ""Shine"" was 1st Runner-Up out of 12,000 entries in USA Weekend Magazine's national songwriting competition judged by Simon Cowell and Fantasia Barrino. A month later she signed with a talent agency, appearing in music videos and commercials for companies including Toyota and Target and films including ""A Pure Country Gift II"" and ""Country Strong"".Target Corporation is the second-largest discount store retailer in the United States, behind Walmart, and a component of the S&P 500 Index.

Question: What retailer is the second-largest in the United States and has a commercial featuring the American artist who was 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?",Target Corporation,Target Corporation,"Matthew ""The Granimal"" Granahan founded the American Combat Association alongside Kamal Shalorus.",HaluEval-QA
"Context: Alma Wade is a major antagonist and key figure in the ""F.E.A.R."" series of first-person shooter horror video games by Monolith Productions, introduced in ""F.E.A.R."" in 2005. The mystery of Alma is the very core of the series.F.E.A.R. First Encounter Assault Recon is a survival horror first-person shooter video game developed by Monolith Productions and published by Sierra Entertainment.

Question: What video game published by Sierra Entertainment includes an antagonist figure who's mystery is the core of the series? ",F.E.A.R.,F.E.A.R.,The Carolinian is the busiest route.,HaluEval-QA
